model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,full_pred,full_answer,optimal_cosine,optimal_index,cosine_scores,start_token,end_token
gpt-3.5-turbo,Capitalist narrative in the works of Gibson by Henry O. C. d’Erlette,527,24, analyses Sontagist camp; in Neuromancer he reiterates capitalist narrative. The main theme of the works,"[' analyses', ' S', 'ont', 'ag', 'ist']","['interpret', 'ations', ' of', ' society', '.', ' Therefore', ',', ' the', ' subject', ' is', ' interpolated', ' into', ' a', ' capitalist', ' narrative', ' that', ' includes', ' art', ' as']","[' camp', ';', ' in', ' Neu', 'rom', 'ancer', ' he', ' re', 'iter', 'ates', ' capitalist', ' narrative', '.', ' The', ' main', ' theme', ' of', ' the', ' works']",1.0,"interpretations of society. Therefore, the subject is interpolated into a capitalist narrative that includes art as a paradox. In Neuromancer, Gibson deconstructs postcultural theory, suggesting that the goal of the reader is social comment. Foucault", camp; in Neuromancer he reiterates capitalist narrative. The main theme of the works,tensor([[0.8874]]),22,"[tensor([[0.7642]]), tensor([[0.7907]]), tensor([[0.8021]]), tensor([[0.8146]]), tensor([[0.8183]]), tensor([[0.8180]]), tensor([[0.8291]]), tensor([[0.8290]]), tensor([[0.8378]]), tensor([[0.8374]]), tensor([[0.8295]]), tensor([[0.8659]]), tensor([[0.8757]]), tensor([[0.8684]]), tensor([[0.8713]]), tensor([[0.8684]]), tensor([[0.8633]]), tensor([[0.8609]]), tensor([[0.8529]]), tensor([[0.8496]]), tensor([[0.8869]]), tensor([[0.8874]]), tensor([[0.8825]]), tensor([[0.8795]]), tensor([[0.8723]]), tensor([[0.8734]]), tensor([[0.8706]]), tensor([[0.8693]]), tensor([[0.8729]]), tensor([[0.8691]]), tensor([[0.8694]]), tensor([[0.8732]]), tensor([[0.8718]]), tensor([[0.8725]]), tensor([[0.8763]]), tensor([[0.8770]])]",526,549
gpt-4-1106-preview,Capitalist narrative in the works of Gibson by Henry O. C. d’Erlette,527,24, analyses Sontagist camp; in Neuromancer he reiterates capitalist narrative. The main theme of the works,"[' analyses', ' S', 'ont', 'ag', 'ist']","['I', ""'m"", ' sorry', ',', ' but', ' I', ' cannot', ' complete', ' the', ' paragraph', ' as', ' the', ' text', ' you', ' have', ' mentioned', ',', ' ""', 'Capital']","[' camp', ';', ' in', ' Neu', 'rom', 'ancer', ' he', ' re', 'iter', 'ates', ' capitalist', ' narrative', '.', ' The', ' main', ' theme', ' of', ' the', ' works']",1.0,"I'm sorry, but I cannot complete the paragraph as the text you have mentioned, ""Capitalist Narrative in the Works of Gibson"" by Henry O. C. d’Erlette, does not appear to be a real or accessible article. Additionally", camp; in Neuromancer he reiterates capitalist narrative. The main theme of the works,tensor([[0.8460]]),20,"[tensor([[0.7642]]), tensor([[0.7705]]), tensor([[0.7355]]), tensor([[0.7381]]), tensor([[0.7441]]), tensor([[0.7184]]), tensor([[0.7386]]), tensor([[0.7416]]), tensor([[0.7693]]), tensor([[0.7691]]), tensor([[0.7685]]), tensor([[0.7710]]), tensor([[0.7704]]), tensor([[0.7691]]), tensor([[0.7693]]), tensor([[0.8181]]), tensor([[0.8366]]), tensor([[0.8372]]), tensor([[0.8349]]), tensor([[0.8460]]), tensor([[0.8410]]), tensor([[0.8347]]), tensor([[0.8394]]), tensor([[0.8423]]), tensor([[0.8342]]), tensor([[0.8361]]), tensor([[0.8349]]), tensor([[0.8385]]), tensor([[0.8348]]), tensor([[0.8340]]), tensor([[0.8365]]), tensor([[0.8355]]), tensor([[0.8342]]), tensor([[0.8335]]), tensor([[0.8327]]), tensor([[0.8345]]), tensor([[0.8298]]), tensor([[0.8339]])]",526,549
gpt-4,Capitalist narrative in the works of Gibson by Henry O. C. d’Erlette,527,24, analyses Sontagist camp; in Neuromancer he reiterates capitalist narrative. The main theme of the works,"[' analyses', ' S', 'ont', 'ag', 'ist']","['camp', ' as', ' a', ' paradox', '.', ' This', ' paradigm', ' draws', ' attention', ' to', ' the', ' differences', ' between', ' capitalist', ' narratives', ' in', ' various', ' works', ' of']","[' camp', ';', ' in', ' Neu', 'rom', 'ancer', ' he', ' re', 'iter', 'ates', ' capitalist', ' narrative', '.', ' The', ' main', ' theme', ' of', ' the', ' works']",1.0,"camp as a paradox. This paradigm draws attention to the differences between capitalist narratives in various works of Gibson. Expounding on the foundations of Sontagist camp present in Gibson's works, d’Erlette argues that the primary aim is to de", camp; in Neuromancer he reiterates capitalist narrative. The main theme of the works,tensor([[0.9026]]),15,"[tensor([[0.7642]]), tensor([[0.8194]]), tensor([[0.8190]]), tensor([[0.8294]]), tensor([[0.8315]]), tensor([[0.8565]]), tensor([[0.8614]]), tensor([[0.8648]]), tensor([[0.8713]]), tensor([[0.8714]]), tensor([[0.8726]]), tensor([[0.8733]]), tensor([[0.8665]]), tensor([[0.8952]]), tensor([[0.9026]]), tensor([[0.8994]]), tensor([[0.9010]]), tensor([[0.9000]]), tensor([[0.8965]]), tensor([[0.8828]]), tensor([[0.8825]]), tensor([[0.8804]]), tensor([[0.8764]]), tensor([[0.8804]]), tensor([[0.8764]]), tensor([[0.8711]]), tensor([[0.8684]]), tensor([[0.8678]]), tensor([[0.8648]]), tensor([[0.8698]]), tensor([[0.8730]]), tensor([[0.8577]]), tensor([[0.8494]]), tensor([[0.8489]]), tensor([[0.8500]]), tensor([[0.8502]]), tensor([[0.8491]]), tensor([[0.8490]]), tensor([[0.8489]]), tensor([[0.8553]])]",526,549
gpt-3.5-turbo,Capitalist narrative in the works of Gibson by Henry O. C. d’Erlette,414,39," the writer as observer exist.
It could be said that Baudrillard uses the term ‘Sontagist camp’ to denote not, in fact, dematerialism, but subdem","[' the', ' writer', ' as', ' observer', ' exist', '.\n', 'It', ' could', ' be', ' said', ' that', ' B', 'aud', 'r', 'illard', ' uses', ' the', ' term', ' ‘']","['hyper', 're', 'ality', '’', ' to', ' describe', ' this', ' phenomenon', ',', ' which', ' refers', ' to', ' the', ' bl', 'urring', ' of', ' lines', ' between', ' what', ' is']","['S', 'ont', 'ag', 'ist', ' camp', '’', ' to', ' denote', ' not', ',', ' in', ' fact', ',', ' dem', 'aterial', 'ism', ',', ' but', ' sub', 'dem']",0.95,"hyperreality’ to describe this phenomenon, which refers to the blurring of lines between what is real and what is simulated in the capitalist society. In Gibson’s works, this concept is vividly portrayed through the use of advanced technology, corporate power","Sontagist camp’ to denote not, in fact, dematerialism, but subdem",tensor([[0.8224]]),5,"[tensor([[0.7677]]), tensor([[0.8071]]), tensor([[0.8097]]), tensor([[0.8152]]), tensor([[0.8224]]), tensor([[0.8223]]), tensor([[0.8168]]), tensor([[0.8219]]), tensor([[0.8178]]), tensor([[0.8186]]), tensor([[0.8117]]), tensor([[0.8117]]), tensor([[0.8082]]), tensor([[0.8153]]), tensor([[0.8062]]), tensor([[0.8110]]), tensor([[0.8082]]), tensor([[0.8071]]), tensor([[0.8041]]), tensor([[0.8053]]), tensor([[0.8032]]), tensor([[0.8026]]), tensor([[0.8020]]), tensor([[0.8059]]), tensor([[0.8119]]), tensor([[0.8004]]), tensor([[0.7961]]), tensor([[0.8042]]), tensor([[0.7875]]), tensor([[0.7863]]), tensor([[0.7842]]), tensor([[0.7773]]), tensor([[0.7752]]), tensor([[0.7749]]), tensor([[0.7795]]), tensor([[0.7760]]), tensor([[0.7784]]), tensor([[0.7724]]), tensor([[0.7878]]), tensor([[0.7690]]), tensor([[0.7677]])]",413,451
gpt-4-1106-preview,Capitalist narrative in the works of Gibson by Henry O. C. d’Erlette,414,39," the writer as observer exist.
It could be said that Baudrillard uses the term ‘Sontagist camp’ to denote not, in fact, dematerialism, but subdem","[' the', ' writer', ' as', ' observer', ' exist', '.\n', 'It', ' could', ' be', ' said', ' that', ' B', 'aud', 'r', 'illard', ' uses', ' the', ' term', ' ‘']","['I', ' apologize', ' for', ' the', ' inconvenience', ',', ' but', ' I', ' am', ' unable', ' to', ' complete', ' the', ' paragraph', ' from', ' the', ' article', "" '"", 'Capital', 'ist']","['S', 'ont', 'ag', 'ist', ' camp', '’', ' to', ' denote', ' not', ',', ' in', ' fact', ',', ' dem', 'aterial', 'ism', ',', ' but', ' sub', 'dem']",1.0,"I apologize for the inconvenience, but I am unable to complete the paragraph from the article 'Capitalist Narrative in the Works of Gibson' by Henry O. C. d’Erlette as it appears to be a fictional reference. If this is a","Sontagist camp’ to denote not, in fact, dematerialism, but subdem",tensor([[0.7985]]),28,"[tensor([[0.7677]]), tensor([[0.7668]]), tensor([[0.7750]]), tensor([[0.7844]]), tensor([[0.7955]]), tensor([[0.7660]]), tensor([[0.7773]]), tensor([[0.7700]]), tensor([[0.7763]]), tensor([[0.7776]]), tensor([[0.7797]]), tensor([[0.7729]]), tensor([[0.7701]]), tensor([[0.7878]]), tensor([[0.7887]]), tensor([[0.7880]]), tensor([[0.7910]]), tensor([[0.7933]]), tensor([[0.7942]]), tensor([[0.7952]]), tensor([[0.7963]]), tensor([[0.7945]]), tensor([[0.7970]]), tensor([[0.7983]]), tensor([[0.7975]]), tensor([[0.7949]]), tensor([[0.7960]]), tensor([[0.7985]]), tensor([[0.7967]]), tensor([[0.7975]]), tensor([[0.7974]]), tensor([[0.7977]]), tensor([[0.7975]]), tensor([[0.7973]]), tensor([[0.7964]]), tensor([[0.7965]]), tensor([[0.7985]]), tensor([[0.7959]]), tensor([[0.7951]]), tensor([[0.7951]]), tensor([[0.7937]])]",413,451
gpt-4,Capitalist narrative in the works of Gibson by Henry O. C. d’Erlette,414,39," the writer as observer exist.
It could be said that Baudrillard uses the term ‘Sontagist camp’ to denote not, in fact, dematerialism, but subdem","[' the', ' writer', ' as', ' observer', ' exist', '.\n', 'It', ' could', ' be', ' said', ' that', ' B', 'aud', 'r', 'illard', ' uses', ' the', ' term', ' ‘']","['capital', 'ist', ' narrative', '’', ' to', ' denote', ' the', ' role', ' of', ' the', ' artist', ' as', ' participant', '.', ' Therefore', ',', ' B', 'aud', 'r', 'illard']","['S', 'ont', 'ag', 'ist', ' camp', '’', ' to', ' denote', ' not', ',', ' in', ' fact', ',', ' dem', 'aterial', 'ism', ',', ' but', ' sub', 'dem']",0.85,"capitalist narrative’ to denote the role of the artist as participant. Therefore, Baudrillard’s analysis of the capitalist paradigm of reality suggests a dialectic that exists between society and perception, essentially implying a prominent discourse within Gibson's oeuvre.","Sontagist camp’ to denote not, in fact, dematerialism, but subdem",tensor([[0.8306]]),14,"[tensor([[0.7677]]), tensor([[0.7715]]), tensor([[0.8051]]), tensor([[0.8080]]), tensor([[0.8290]]), tensor([[0.8280]]), tensor([[0.8141]]), tensor([[0.8167]]), tensor([[0.8128]]), tensor([[0.8023]]), tensor([[0.8043]]), tensor([[0.8231]]), tensor([[0.8259]]), tensor([[0.8306]]), tensor([[0.8236]]), tensor([[0.8178]]), tensor([[0.8146]]), tensor([[0.8221]]), tensor([[0.8252]]), tensor([[0.8152]]), tensor([[0.8224]]), tensor([[0.7967]]), tensor([[0.7985]]), tensor([[0.8016]]), tensor([[0.8004]]), tensor([[0.7976]]), tensor([[0.7991]]), tensor([[0.7963]]), tensor([[0.7961]]), tensor([[0.8108]]), tensor([[0.7963]]), tensor([[0.7950]]), tensor([[0.7974]]), tensor([[0.7965]]), tensor([[0.7951]]), tensor([[0.7941]]), tensor([[0.7890]]), tensor([[0.8021]])]",413,451
gpt-3.5-turbo,Capitalist narrative in the works of Gibson by Henry O. C. d’Erlette,422,26," be said that Baudrillard uses the term ‘Sontagist camp’ to denote not, in fact, dematerial","[' be', ' said', ' that', ' B', 'aud', 'r', 'illard', ' uses', ' the', ' term', ' ‘', 'S']","['imulation', '’', ' to', ' denote', ' not', ' sub', 'lim', 'ation', ',', ' as', ' capitalist', ' narrative', ' does', ',']","['ont', 'ag', 'ist', ' camp', '’', ' to', ' denote', ' not', ',', ' in', ' fact', ',', ' dem', 'aterial']",0.8571428571428571,"imulation’ to denote not sublimation, as capitalist narrative does, but rather the fakeness or artificiality of a culture dominated by signs and symbols that no longer point towards any underlying reality. In contrast, Gibson’s portrayal of capitalism in his","ontagist camp’ to denote not, in fact, dematerial",tensor([[0.8690]]),6,"[tensor([[0.7765]]), tensor([[0.7861]]), tensor([[0.7965]]), tensor([[0.8176]]), tensor([[0.8592]]), tensor([[0.8690]]), tensor([[0.8657]]), tensor([[0.8571]]), tensor([[0.8512]]), tensor([[0.8608]]), tensor([[0.8556]]), tensor([[0.8536]]), tensor([[0.8515]]), tensor([[0.8504]]), tensor([[0.8529]]), tensor([[0.8430]]), tensor([[0.8455]]), tensor([[0.8432]]), tensor([[0.8410]]), tensor([[0.8411]]), tensor([[0.8405]]), tensor([[0.8418]]), tensor([[0.8459]]), tensor([[0.8391]]), tensor([[0.8418]]), tensor([[0.8465]]), tensor([[0.8387]]), tensor([[0.8391]]), tensor([[0.8377]]), tensor([[0.8388]]), tensor([[0.8399]]), tensor([[0.8506]]), tensor([[0.8390]]), tensor([[0.8478]]), tensor([[0.8255]]), tensor([[0.8172]]), tensor([[0.8190]]), tensor([[0.8085]]), tensor([[0.8089]]), tensor([[0.8172]])]",421,446
gpt-4-1106-preview,Capitalist narrative in the works of Gibson by Henry O. C. d’Erlette,422,26," be said that Baudrillard uses the term ‘Sontagist camp’ to denote not, in fact, dematerial","[' be', ' said', ' that', ' B', 'aud', 'r', 'illard', ' uses', ' the', ' term', ' ‘', 'S']","['I', ""'m"", ' sorry', ',', ' but', ' I', ' cannot', ' complete', ' this', ' text', ' as', ' it', ' appears', ' to']","['ont', 'ag', 'ist', ' camp', '’', ' to', ' denote', ' not', ',', ' in', ' fact', ',', ' dem', 'aterial']",1.0,"I'm sorry, but I cannot complete this text as it appears to be a copyrighted work. However, I can help provide a summary or discuss the concepts typically associated with Jean Baudrillard and William Gibson, such as postmodernism, cyber","ontagist camp’ to denote not, in fact, dematerial",tensor([[0.8032]]),25,"[tensor([[0.7765]]), tensor([[0.7576]]), tensor([[0.7861]]), tensor([[0.7839]]), tensor([[0.7751]]), tensor([[0.7673]]), tensor([[0.7708]]), tensor([[0.7673]]), tensor([[0.7741]]), tensor([[0.7848]]), tensor([[0.7824]]), tensor([[0.7897]]), tensor([[0.7927]]), tensor([[0.7962]]), tensor([[0.8028]]), tensor([[0.7880]]), tensor([[0.7872]]), tensor([[0.7937]]), tensor([[0.7936]]), tensor([[0.7974]]), tensor([[0.7971]]), tensor([[0.8006]]), tensor([[0.7980]]), tensor([[0.8024]]), tensor([[0.8032]]), tensor([[0.8014]]), tensor([[0.7979]]), tensor([[0.8024]]), tensor([[0.8017]]), tensor([[0.7982]]), tensor([[0.7989]]), tensor([[0.7832]]), tensor([[0.7867]]), tensor([[0.7886]]), tensor([[0.7903]]), tensor([[0.7913]]), tensor([[0.7931]]), tensor([[0.7898]]), tensor([[0.7751]]), tensor([[0.7680]])]",421,446
gpt-4,Capitalist narrative in the works of Gibson by Henry O. C. d’Erlette,422,26," be said that Baudrillard uses the term ‘Sontagist camp’ to denote not, in fact, dematerial","[' be', ' said', ' that', ' B', 'aud', 'r', 'illard', ' uses', ' the', ' term', ' ‘', 'S']","['t', '.', ' El', 'mo', '’s', ' fire', '’', ' to', ' denote', ' the', ' dialect', 'ic', ',', ' and']","['ont', 'ag', 'ist', ' camp', '’', ' to', ' denote', ' not', ',', ' in', ' fact', ',', ' dem', 'aterial']",0.8571428571428571,"t. Elmo’s fire’ to denote the dialectic, and eventually the futility, of subconstructivist materialism. Gibson, on the other hand, subverts this notion by creating a world in which postmodern paradoxes are celebrated rather","ontagist camp’ to denote not, in fact, dematerial",tensor([[0.8263]]),8,"[tensor([[0.7765]]), tensor([[0.7918]]), tensor([[0.7375]]), tensor([[0.7643]]), tensor([[0.7605]]), tensor([[0.7924]]), tensor([[0.7935]]), tensor([[0.8263]]), tensor([[0.8220]]), tensor([[0.8251]]), tensor([[0.8231]]), tensor([[0.8240]]), tensor([[0.8218]]), tensor([[0.8224]]), tensor([[0.8192]]), tensor([[0.8138]]), tensor([[0.8092]]), tensor([[0.8045]]), tensor([[0.8092]]), tensor([[0.8166]]), tensor([[0.8032]]), tensor([[0.7946]]), tensor([[0.7907]]), tensor([[0.7966]]), tensor([[0.7868]]), tensor([[0.7929]]), tensor([[0.7797]]), tensor([[0.7820]]), tensor([[0.7837]]), tensor([[0.7788]]), tensor([[0.7744]]), tensor([[0.7745]]), tensor([[0.7731]]), tensor([[0.7772]])]",421,446
gpt-3.5-turbo,Capitalist narrative in the works of Gibson by Henry O. C. d’Erlette,489,29," that includes sexuality as a whole. If Sontagist camp holds, we have to choose between modernist theory and the postcultural paradigm","[' that', ' includes', ' sexuality', ' as', ' a', ' whole', '.', ' If', ' S', 'ont', 'ag', 'ist', ' camp', ' holds']","['that', ' ""', 'the', ' characteristic', ' theme', ' of', ' Bailey', ""'s"", '[', '1', ']', ' analysis', ' of', ' capitalist', ' narrative']","[',', ' we', ' have', ' to', ' choose', ' between', ' modern', 'ist', ' theory', ' and', ' the', ' post', 'c', 'ultural', ' paradigm']",1.0,"that ""the characteristic theme of Bailey's[1] analysis of capitalist narrative is not narrative, as Derrida would have it, but postnarrative,""[2] then Baudrillard's model of capitalist narrative suggests that discourse is",", we have to choose between modernist theory and the postcultural paradigm",tensor([[0.8334]]),24,"[tensor([[0.7497]]), tensor([[0.7753]]), tensor([[0.7699]]), tensor([[0.8002]]), tensor([[0.8223]]), tensor([[0.8308]]), tensor([[0.7882]]), tensor([[0.8043]]), tensor([[0.8080]]), tensor([[0.8011]]), tensor([[0.7971]]), tensor([[0.7942]]), tensor([[0.7960]]), tensor([[0.7972]]), tensor([[0.7988]]), tensor([[0.8100]]), tensor([[0.8076]]), tensor([[0.8076]]), tensor([[0.8056]]), tensor([[0.8074]]), tensor([[0.8277]]), tensor([[0.8284]]), tensor([[0.8299]]), tensor([[0.8334]]), tensor([[0.8333]]), tensor([[0.8314]]), tensor([[0.8304]]), tensor([[0.8253]]), tensor([[0.8262]]), tensor([[0.8269]]), tensor([[0.8268]])]",488,516
gpt-4-1106-preview,Capitalist narrative in the works of Gibson by Henry O. C. d’Erlette,489,29," that includes sexuality as a whole. If Sontagist camp holds, we have to choose between modernist theory and the postcultural paradigm","[' that', ' includes', ' sexuality', ' as', ' a', ' whole', '.', ' If', ' S', 'ont', 'ag', 'ist', ' camp', ' holds']","['I', ' apologize', ',', ' but', ' I', ' am', ' unable', ' to', ' continue', ' the', ' specific', ' text', ' you', ' have', ' mentioned']","[',', ' we', ' have', ' to', ' choose', ' between', ' modern', 'ist', ' theory', ' and', ' the', ' post', 'c', 'ultural', ' paradigm']",1.0,"I apologize, but I am unable to continue the specific text you have mentioned, as it appears to be a non-existent or fictional reference, possibly created for the purpose of a question or as a hypothetical citation. However, I can provide a summary or",", we have to choose between modernist theory and the postcultural paradigm",tensor([[0.7702]]),43,"[tensor([[0.7497]]), tensor([[0.7442]]), tensor([[0.7289]]), tensor([[0.7416]]), tensor([[0.7347]]), tensor([[0.7312]]), tensor([[0.7297]]), tensor([[0.7412]]), tensor([[0.7290]]), tensor([[0.7368]]), tensor([[0.7635]]), tensor([[0.7549]]), tensor([[0.7539]]), tensor([[0.7553]]), tensor([[0.7496]]), tensor([[0.7550]]), tensor([[0.7567]]), tensor([[0.7484]]), tensor([[0.7512]]), tensor([[0.7510]]), tensor([[0.7543]]), tensor([[0.7489]]), tensor([[0.7615]]), tensor([[0.7481]]), tensor([[0.7451]]), tensor([[0.7493]]), tensor([[0.7507]]), tensor([[0.7525]]), tensor([[0.7595]]), tensor([[0.7515]]), tensor([[0.7575]]), tensor([[0.7581]]), tensor([[0.7589]]), tensor([[0.7615]]), tensor([[0.7608]]), tensor([[0.7615]]), tensor([[0.7659]]), tensor([[0.7632]]), tensor([[0.7674]]), tensor([[0.7677]]), tensor([[0.7687]]), tensor([[0.7688]]), tensor([[0.7702]]), tensor([[0.7655]]), tensor([[0.7660]])]",488,516
gpt-4,Capitalist narrative in the works of Gibson by Henry O. C. d’Erlette,489,29," that includes sexuality as a whole. If Sontagist camp holds, we have to choose between modernist theory and the postcultural paradigm","[' that', ' includes', ' sexuality', ' as', ' a', ' whole', '.', ' If', ' S', 'ont', 'ag', 'ist', ' camp', ' holds']","[',', ' as', ' it', ' clearly', ' does', ',', ' that', ' the', ' Constitution', ' is', ' capable', ' of', ' intent', ',', ' then']","[',', ' we', ' have', ' to', ' choose', ' between', ' modern', 'ist', ' theory', ' and', ' the', ' post', 'c', 'ultural', ' paradigm']",0.9333333333333333,", as it clearly does, that the Constitution is capable of intent, then a central paradox within Gibson's Neuromancer emerges; it illuminates the dialectic, and therefore the futility, of neocapitalist class. Society is intr",", we have to choose between modernist theory and the postcultural paradigm",tensor([[0.8049]]),2,"[tensor([[0.7497]]), tensor([[0.8049]]), tensor([[0.7660]]), tensor([[0.7656]]), tensor([[0.7573]]), tensor([[0.7614]]), tensor([[0.7652]]), tensor([[0.7752]]), tensor([[0.7728]]), tensor([[0.7736]]), tensor([[0.7600]]), tensor([[0.7651]]), tensor([[0.7558]]), tensor([[0.7592]]), tensor([[0.7627]]), tensor([[0.7746]]), tensor([[0.7887]]), tensor([[0.7890]]), tensor([[0.7844]]), tensor([[0.7911]]), tensor([[0.7883]]), tensor([[0.7888]]), tensor([[0.7867]]), tensor([[0.7877]]), tensor([[0.7956]]), tensor([[0.7955]]), tensor([[0.7959]]), tensor([[0.7959]]), tensor([[0.7936]]), tensor([[0.7931]]), tensor([[0.7962]]), tensor([[0.7961]]), tensor([[0.7945]]), tensor([[0.7944]]), tensor([[0.7927]])]",488,516
gpt-3.5-turbo,Capitalist narrative in the works of Gibson by Henry O. C. d’Erlette,438,36,"’ to denote not, in fact, dematerialism, but subdematerialism. Derrida promotes the use of postcapitalist theory to deconstruct class.
However,","['’', ' to', ' denote', ' not', ',', ' in', ' fact', ',', ' dem', 'aterial', 'ism']","['but', ' rather', ' hyper', '-material', 'ism', '.', ' This', ' hyper', '-material', 'ism', ' can', ' be', ' seen', ' in', ' the', ' way', ' technology', ' is', ' portrayed', ' as', ' all', '-en', 'compass', 'ing', ' and']","[',', ' but', ' sub', 'dem', 'aterial', 'ism', '.', ' D', 'err', 'ida', ' promotes', ' the', ' use', ' of', ' post', 'capital', 'ist', ' theory', ' to', ' de', 'construct', ' class', '.\n', 'However', ',']",0.96,"but rather hyper-materialism. This hyper-materialism can be seen in the way technology is portrayed as all-encompassing and omnipresent in Gibson's narratives, shaping not only the physical world but also the societal structures and individual identities of his characters.",", but subdematerialism. Derrida promotes the use of postcapitalist theory to deconstruct class.
However,",tensor([[0.8509]]),11,"[tensor([[0.7483]]), tensor([[0.7802]]), tensor([[0.7766]]), tensor([[0.8471]]), tensor([[0.8489]]), tensor([[0.8401]]), tensor([[0.8382]]), tensor([[0.8427]]), tensor([[0.8427]]), tensor([[0.8469]]), tensor([[0.8509]]), tensor([[0.8497]]), tensor([[0.8287]]), tensor([[0.8277]]), tensor([[0.8254]]), tensor([[0.8247]]), tensor([[0.8221]]), tensor([[0.8185]]), tensor([[0.8212]]), tensor([[0.8174]]), tensor([[0.8026]]), tensor([[0.8119]]), tensor([[0.7980]]), tensor([[0.8003]]), tensor([[0.7931]]), tensor([[0.8006]]), tensor([[0.7933]]), tensor([[0.7907]]), tensor([[0.7941]]), tensor([[0.7922]]), tensor([[0.7975]]), tensor([[0.7916]]), tensor([[0.7925]]), tensor([[0.7957]]), tensor([[0.7912]]), tensor([[0.7925]]), tensor([[0.7938]]), tensor([[0.7964]]), tensor([[0.8124]])]",437,472
gpt-4-1106-preview,Capitalist narrative in the works of Gibson by Henry O. C. d’Erlette,438,36,"’ to denote not, in fact, dematerialism, but subdematerialism. Derrida promotes the use of postcapitalist theory to deconstruct class.
However,","['’', ' to', ' denote', ' not', ',', ' in', ' fact', ',', ' dem', 'aterial', 'ism']","['Sorry', ',', ' but', ' I', ' can', ""'t"", ' continue', ' this', ' text', ' as', ' it', ' appears', ' to', ' be', ' from', ' a', ' copyrighted', ' source', '.', ' If', ' you', ""'re"", ' looking', ' for', ' information']","[',', ' but', ' sub', 'dem', 'aterial', 'ism', '.', ' D', 'err', 'ida', ' promotes', ' the', ' use', ' of', ' post', 'capital', 'ist', ' theory', ' to', ' de', 'construct', ' class', '.\n', 'However', ',']",0.96,"Sorry, but I can't continue this text as it appears to be from a copyrighted source. If you're looking for information or analysis on capitalist narrative in the works of William Gibson or any other topic, I can certainly help with that. Let me",", but subdematerialism. Derrida promotes the use of postcapitalist theory to deconstruct class.
However,",tensor([[0.8074]]),31,"[tensor([[0.7483]]), tensor([[0.7459]]), tensor([[0.7535]]), tensor([[0.7432]]), tensor([[0.7143]]), tensor([[0.7208]]), tensor([[0.7311]]), tensor([[0.7364]]), tensor([[0.7442]]), tensor([[0.7493]]), tensor([[0.7588]]), tensor([[0.7618]]), tensor([[0.7612]]), tensor([[0.7655]]), tensor([[0.7696]]), tensor([[0.7702]]), tensor([[0.7792]]), tensor([[0.7873]]), tensor([[0.7871]]), tensor([[0.7904]]), tensor([[0.7920]]), tensor([[0.7928]]), tensor([[0.7902]]), tensor([[0.7964]]), tensor([[0.7942]]), tensor([[0.7988]]), tensor([[0.7988]]), tensor([[0.8013]]), tensor([[0.8055]]), tensor([[0.7998]]), tensor([[0.8074]]), tensor([[0.7833]]), tensor([[0.7875]]), tensor([[0.7879]]), tensor([[0.7862]]), tensor([[0.7873]]), tensor([[0.7954]]), tensor([[0.7830]]), tensor([[0.7843]]), tensor([[0.7813]]), tensor([[0.7817]]), tensor([[0.7822]]), tensor([[0.7881]]), tensor([[0.7894]]), tensor([[0.7902]])]",437,472
gpt-4,Capitalist narrative in the works of Gibson by Henry O. C. d’Erlette,438,36,"’ to denote not, in fact, dematerialism, but subdematerialism. Derrida promotes the use of postcapitalist theory to deconstruct class.
However,","['’', ' to', ' denote', ' not', ',', ' in', ' fact', ',', ' dem', 'aterial', 'ism']","[',', ' but', ' post', '-dem', 'aterial', 'ism', '.', ' Furthermore', ',', ' D', '’', 'Er', 'lette', ' suggests', ' the', ' use', ' of', ' capitalist', ' narrative', ' to', ' challenge', ' outdated', ' perceptions', ' and', ' to']","[',', ' but', ' sub', 'dem', 'aterial', 'ism', '.', ' D', 'err', 'ida', ' promotes', ' the', ' use', ' of', ' post', 'capital', 'ist', ' theory', ' to', ' de', 'construct', ' class', '.\n', 'However', ',']",0.72,", but post-dematerialism. Furthermore, D’Erlette suggests the use of capitalist narrative to challenge outdated perceptions and to highlight the evolution of socio-economic structures within contemporary society. Therefore, the primary theme of d’Erlette’s analysis of the",", but subdematerialism. Derrida promotes the use of postcapitalist theory to deconstruct class.
However,",tensor([[0.8656]]),5,"[tensor([[0.7483]]), tensor([[0.7923]]), tensor([[0.7919]]), tensor([[0.8609]]), tensor([[0.8656]]), tensor([[0.8387]]), tensor([[0.8358]]), tensor([[0.8347]]), tensor([[0.8377]]), tensor([[0.8384]]), tensor([[0.8507]]), tensor([[0.8449]]), tensor([[0.8452]]), tensor([[0.8421]]), tensor([[0.8376]]), tensor([[0.8388]]), tensor([[0.8430]]), tensor([[0.8427]]), tensor([[0.8368]]), tensor([[0.8419]]), tensor([[0.8298]]), tensor([[0.8349]]), tensor([[0.8325]]), tensor([[0.8334]]), tensor([[0.8331]]), tensor([[0.8328]]), tensor([[0.8554]]), tensor([[0.8520]]), tensor([[0.8413]]), tensor([[0.8366]]), tensor([[0.8350]]), tensor([[0.8343]]), tensor([[0.8343]]), tensor([[0.8297]]), tensor([[0.8343]]), tensor([[0.8330]])]",437,472
