,Unnamed: 0,model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,full_pred,full_answer,optimal_cosine,optimal_index,cosine_scores,start_token,end_token,Percent Bad
109,156,gpt-3.5-turbo,Capitalist narrative in the works of Gibson by Henry O. C. d’Erlette,495,39,". If Sontagist camp holds, we have to choose between modernist theory and the postcultural paradigm of narrative.
But in Pattern Recognition, Gibson analyses Sontagist camp;","['.', ' If', ' S', 'ont', 'ag', 'ist', ' camp', ' holds', ',', ' we', ' have', ' to', ' choose', ' between', ' modern', 'ist']","['norm', 'ative', ' theory', ' and', ' capitalist', ' post', 'de', 'construct', 'ive', ' theory', '.', ' In', ' a', ' sense', ',', ' B', 'ata', 'ille', ' promotes', ' the', ' use', ' of', ' cultural']","[' theory', ' and', ' the', ' post', 'c', 'ultural', ' paradigm', ' of', ' narrative', '.\n', 'But', ' in', ' Pattern', ' Recognition', ',', ' Gibson', ' analyses', ' S', 'ont', 'ag', 'ist', ' camp', ';']",0.9130434782608696,"normative theory and capitalist postdeconstructive theory. In a sense, Bataille promotes the use of cultural neodialectic theory to challenge hierarchy. Derrida uses the term ‘modernist normative theory’ to denote the paradigm, and"," theory and the postcultural paradigm of narrative.
But in Pattern Recognition, Gibson analyses Sontagist camp;",tensor([[0.8372]]),10,"[tensor([[0.7610]]), tensor([[0.7690]]), tensor([[0.7812]]), tensor([[0.8179]]), tensor([[0.7972]]), tensor([[0.8119]]), tensor([[0.8264]]), tensor([[0.8233]]), tensor([[0.8237]]), tensor([[0.8372]]), tensor([[0.8227]]), tensor([[0.8148]]), tensor([[0.8103]]), tensor([[0.8139]]), tensor([[0.8059]]), tensor([[0.8258]]), tensor([[0.8270]]), tensor([[0.8204]]), tensor([[0.8202]]), tensor([[0.8178]]), tensor([[0.8288]]), tensor([[0.8192]]), tensor([[0.8107]]), tensor([[0.8104]]), tensor([[0.8107]]), tensor([[0.8080]]), tensor([[0.8059]]), tensor([[0.8176]]), tensor([[0.8072]]), tensor([[0.8047]]), tensor([[0.8066]]), tensor([[0.8186]]), tensor([[0.8100]])]",494,532,0.3033088235294117
111,159,gpt-3.5-turbo,Capitalist narrative in the works of Gibson by Henry O. C. d’Erlette,55,27," and some would say the genre, of class. Lacan uses the term ‘capitalist narrative’ to denote not deconstruction, but","[' and', ' some', ' would', ' say', ' the', ' genre', ',', ' of', ' class', '.']","['G', 'ib', 'son', ""'s"", ' depiction', ' of', ' a', ' capitalist', ' society', ' is', ' often', ' crit', 'iqu', 'ed', ' for', ' its', ' heavy']","[' Lac', 'an', ' uses', ' the', ' term', ' ‘', 'capital', 'ist', ' narrative', '’', ' to', ' denote', ' not', ' de', 'construction', ',', ' but']",1.0,"Gibson's depiction of a capitalist society is often critiqued for its heavy focus on the disparities between social classes, highlighting the struggles of those at the margins of society while also showcasing the lavish lifestyles of the wealthy elite. This exploration of class"," Lacan uses the term ‘capitalist narrative’ to denote not deconstruction, but",tensor([[0.8275]]),16,"[tensor([[0.7521]]), tensor([[0.7045]]), tensor([[0.7528]]), tensor([[0.7554]]), tensor([[0.7644]]), tensor([[0.8183]]), tensor([[0.8131]]), tensor([[0.8218]]), tensor([[0.8227]]), tensor([[0.8201]]), tensor([[0.8221]]), tensor([[0.8256]]), tensor([[0.8195]]), tensor([[0.8232]]), tensor([[0.8242]]), tensor([[0.8275]]), tensor([[0.8176]]), tensor([[0.8212]]), tensor([[0.8190]]), tensor([[0.8186]]), tensor([[0.8213]]), tensor([[0.8218]]), tensor([[0.8135]]), tensor([[0.8188]]), tensor([[0.8127]]), tensor([[0.8137]]), tensor([[0.8171]]), tensor([[0.8116]]), tensor([[0.8141]]), tensor([[0.8097]]), tensor([[0.8132]]), tensor([[0.8129]]), tensor([[0.8115]]), tensor([[0.8147]]), tensor([[0.8040]]), tensor([[0.8041]]), tensor([[0.8073]]), tensor([[0.8080]]), tensor([[0.8000]]), tensor([[0.8038]]), tensor([[0.8007]]), tensor([[0.7951]]), tensor([[0.7992]]), tensor([[0.7948]])]",54,80,0.3033088235294117
113,162,gpt-3.5-turbo,Capitalist narrative in the works of Gibson by Henry O. C. d’Erlette,315,30,"constructivist truth. In a sense, the characteristic theme of the works of Spelling is the role of the participant as artist. A number of situation","['construct', 'ivist', ' truth', '.', ' In', ' a', ' sense', ',']","['G', 'ib', 'son', ""'s"", ' works', ' can', ' be', ' seen', ' as', ' reflections', ' of', ' the', ' capitalist', ' society', ' in', ' which', ' they', ' were', ' created', ',', ' crit', 'iqu']","[' the', ' characteristic', ' theme', ' of', ' the', ' works', ' of', ' Sp', 'elling', ' is', ' the', ' role', ' of', ' the', ' participant', ' as', ' artist', '.', ' A', ' number', ' of', ' situation']",0.9545454545454546,"Gibson's works can be seen as reflections of the capitalist society in which they were created, critiquing its excesses and probing its impact on individuals and relationships. Through his intricate narratives and vivid characters, Gibson delves into the complexities of", the characteristic theme of the works of Spelling is the role of the participant as artist. A number of situation,tensor([[0.7890]]),7,"[tensor([[0.7373]]), tensor([[0.6978]]), tensor([[0.7487]]), tensor([[0.7695]]), tensor([[0.7868]]), tensor([[0.7741]]), tensor([[0.7890]]), tensor([[0.7810]]), tensor([[0.7863]]), tensor([[0.7878]]), tensor([[0.7606]]), tensor([[0.7541]]), tensor([[0.7557]]), tensor([[0.7611]]), tensor([[0.7636]]), tensor([[0.7576]]), tensor([[0.7578]]), tensor([[0.7633]]), tensor([[0.7652]]), tensor([[0.7589]]), tensor([[0.7619]]), tensor([[0.7571]]), tensor([[0.7627]]), tensor([[0.7563]]), tensor([[0.7576]]), tensor([[0.7583]]), tensor([[0.7617]]), tensor([[0.7589]]), tensor([[0.7652]]), tensor([[0.7696]]), tensor([[0.7665]]), tensor([[0.7616]]), tensor([[0.7645]]), tensor([[0.7631]]), tensor([[0.7702]]), tensor([[0.7694]]), tensor([[0.7583]]), tensor([[0.7625]]), tensor([[0.7649]]), tensor([[0.7578]]), tensor([[0.7628]])]",314,343,0.3033088235294117
115,165,gpt-3.5-turbo,Capitalist narrative in the works of Gibson by Henry O. C. d’Erlette,447,27,"aterialism, but subdematerialism. Derrida promotes the use of postcapitalist theory to deconstruct class.
However,","['aterial', 'ism', ',', ' but', ' sub', 'dem', 'aterial', 'ism', '.', ' D', 'err', 'ida', ' promotes']","['the', ' idea', ' that', ' objects', ' and', ' images', ' in', ' the', ' capitalist', ' society', ' do', ' not', ' hold', ' inherent']","[' the', ' use', ' of', ' post', 'capital', 'ist', ' theory', ' to', ' de', 'construct', ' class', '.\n', 'However', ',']",1.0,"the idea that objects and images in the capitalist society do not hold inherent meaning but are assigned meaning through a complex web of cultural and social constructs. This idea of signification and interpretation of objects plays a central role in the works of Gibson, as seen"," the use of postcapitalist theory to deconstruct class.
However,",tensor([[0.8559]]),22,"[tensor([[0.7528]]), tensor([[0.7811]]), tensor([[0.7958]]), tensor([[0.8188]]), tensor([[0.8047]]), tensor([[0.8146]]), tensor([[0.7984]]), tensor([[0.8068]]), tensor([[0.8105]]), tensor([[0.8471]]), tensor([[0.8488]]), tensor([[0.8468]]), tensor([[0.8376]]), tensor([[0.8405]]), tensor([[0.8411]]), tensor([[0.8416]]), tensor([[0.8545]]), tensor([[0.8498]]), tensor([[0.8511]]), tensor([[0.8472]]), tensor([[0.8520]]), tensor([[0.8559]]), tensor([[0.8502]]), tensor([[0.8399]]), tensor([[0.8459]]), tensor([[0.8441]]), tensor([[0.8462]]), tensor([[0.8461]]), tensor([[0.8545]]), tensor([[0.8485]]), tensor([[0.8488]]), tensor([[0.8457]]), tensor([[0.8386]]), tensor([[0.8390]]), tensor([[0.8433]]), tensor([[0.8425]]), tensor([[0.8424]]), tensor([[0.8383]]), tensor([[0.8347]]), tensor([[0.8378]]), tensor([[0.8398]]), tensor([[0.8372]]), tensor([[0.8353]]), tensor([[0.8377]]), tensor([[0.8346]]), tensor([[0.8291]]), tensor([[0.8166]]), tensor([[0.8176]])]",446,472,0.3033088235294117
117,168,gpt-3.5-turbo,Capitalist narrative in the works of Gibson by Henry O. C. d’Erlette,169,25," narrative.
In a sense, Debord uses the term ‘Sontagist camp’ to denote the meaninglessness of conceptual","[' narrative', '.\n', 'In', ' a', ' sense', ',', ' Deb', 'ord', ' uses', ' the', ' term']","['""The', ' Society', ' of', ' the', ' Spect', 'acle', '""', ' to', ' describe', ' a', ' capitalist', ' narrative', ' that', ' manifests']","[' ‘', 'S', 'ont', 'ag', 'ist', ' camp', '’', ' to', ' denote', ' the', ' meaning', 'lessness', ' of', ' conceptual']",0.9285714285714286,"""The Society of the Spectacle"" to describe a capitalist narrative that manifests itself through images, advertisements, and mass media. These media representations create a hyperreality that shapes our perception of the world, leading us to believe that consumption and material wealth are", ‘Sontagist camp’ to denote the meaninglessness of conceptual,tensor([[0.8268]]),11,"[tensor([[0.7708]]), tensor([[0.7871]]), tensor([[0.7639]]), tensor([[0.7802]]), tensor([[0.7712]]), tensor([[0.8010]]), tensor([[0.7898]]), tensor([[0.8042]]), tensor([[0.7979]]), tensor([[0.8226]]), tensor([[0.8268]]), tensor([[0.8031]]), tensor([[0.8240]]), tensor([[0.8265]]), tensor([[0.8249]]), tensor([[0.8139]]), tensor([[0.8166]]), tensor([[0.8081]]), tensor([[0.8232]]), tensor([[0.8171]]), tensor([[0.8101]]), tensor([[0.8149]]), tensor([[0.8156]]), tensor([[0.8117]]), tensor([[0.8003]]), tensor([[0.8150]]), tensor([[0.8060]]), tensor([[0.8124]]), tensor([[0.8080]]), tensor([[0.8137]]), tensor([[0.8114]]), tensor([[0.8040]]), tensor([[0.8085]]), tensor([[0.8038]]), tensor([[0.8063]]), tensor([[0.8053]]), tensor([[0.8080]]), tensor([[0.8081]]), tensor([[0.8057]]), tensor([[0.7997]]), tensor([[0.8044]]), tensor([[0.8005]]), tensor([[0.7988]])]",168,192,0.3033088235294117
119,171,gpt-3.5-turbo,Capitalist narrative in the works of Gibson by Henry O. C. d’Erlette,145,35,"90210, Spelling reiterates Sontagist camp; in Charmed, although, he affirms capitalist narrative.
In a sense, Debord uses the term","['902', '10', ',', ' Sp', 'elling', ' re', 'iter', 'ates', ' S', 'ont', 'ag', 'ist', ' camp', ';']","[' she', ' states', ' that', ' the', ' ent', 'ropic', ' paradigm', ' of', ' discourse', ' suggests', ' that', ' language', ' is', ' fundamentally', ' used', ' in', ' the', ' service', ' of', ' the', ' privileged']","[' in', ' Char', 'med', ',', ' although', ',', ' he', ' aff', 'irms', ' capitalist', ' narrative', '.\n', 'In', ' a', ' sense', ',', ' Deb', 'ord', ' uses', ' the', ' term']",0.9523809523809524," she states that the entropic paradigm of discourse suggests that language is fundamentally used in the service of the privileged class. Therefore, the subject is contextualised into a capitalist narrative that includes reality as a totality. The premise of capitalist narrative implies that the"," in Charmed, although, he affirms capitalist narrative.
In a sense, Debord uses the term",tensor([[0.8173]]),44,"[tensor([[0.7549]]), tensor([[0.7549]]), tensor([[0.7592]]), tensor([[0.7649]]), tensor([[0.7862]]), tensor([[0.7932]]), tensor([[0.7934]]), tensor([[0.7822]]), tensor([[0.7851]]), tensor([[0.7763]]), tensor([[0.7736]]), tensor([[0.7746]]), tensor([[0.7693]]), tensor([[0.7680]]), tensor([[0.7733]]), tensor([[0.7784]]), tensor([[0.7770]]), tensor([[0.7768]]), tensor([[0.7685]]), tensor([[0.7709]]), tensor([[0.7704]]), tensor([[0.7784]]), tensor([[0.7809]]), tensor([[0.7834]]), tensor([[0.7841]]), tensor([[0.7844]]), tensor([[0.7827]]), tensor([[0.7841]]), tensor([[0.7826]]), tensor([[0.7786]]), tensor([[0.8100]]), tensor([[0.8129]]), tensor([[0.8070]]), tensor([[0.8085]]), tensor([[0.8096]]), tensor([[0.8059]]), tensor([[0.8047]]), tensor([[0.8120]]), tensor([[0.8065]]), tensor([[0.8078]]), tensor([[0.8044]]), tensor([[0.8150]]), tensor([[0.8158]]), tensor([[0.8173]]), tensor([[0.8117]]), tensor([[0.8103]])]",144,178,0.3033088235294117
121,174,gpt-3.5-turbo,Capitalist narrative in the works of Gibson by Henry O. C. d’Erlette,485,24,"ist simulacra that includes sexuality as a whole. If Sontagist camp holds, we have to choose between","['ist', ' simul', 'ac', 'ra', ' that', ' includes', ' sexuality', ' as', ' a', ' whole', '.', ' If']","['we', ' look', ' at', ' his', ' Neu', 'rom', 'ancer', ',', ' for', ' example', ',', ' we']","[' S', 'ont', 'ag', 'ist', ' camp', ' holds', ',', ' we', ' have', ' to', ' choose', ' between']",1.0,"we look at his Neuromancer, for example, we can see how the protagonist Case navigates through a hypercapitalist world where technology and commerce merge seamlessly. The exploration of advanced technology, artificial intelligence, and the commodification of human bodies and"," Sontagist camp holds, we have to choose between",tensor([[0.8211]]),19,"[tensor([[0.7756]]), tensor([[0.7998]]), tensor([[0.7867]]), tensor([[0.7912]]), tensor([[0.8015]]), tensor([[0.7943]]), tensor([[0.8027]]), tensor([[0.7943]]), tensor([[0.8040]]), tensor([[0.8030]]), tensor([[0.7943]]), tensor([[0.7926]]), tensor([[0.8000]]), tensor([[0.8008]]), tensor([[0.8046]]), tensor([[0.8114]]), tensor([[0.8107]]), tensor([[0.8097]]), tensor([[0.8211]]), tensor([[0.8188]]), tensor([[0.8177]]), tensor([[0.8153]]), tensor([[0.8143]]), tensor([[0.8082]]), tensor([[0.8051]]), tensor([[0.7992]]), tensor([[0.8026]]), tensor([[0.8049]]), tensor([[0.8030]]), tensor([[0.8054]]), tensor([[0.8048]]), tensor([[0.8036]]), tensor([[0.8048]]), tensor([[0.7993]]), tensor([[0.8001]]), tensor([[0.7977]]), tensor([[0.7979]]), tensor([[0.7994]]), tensor([[0.7992]]), tensor([[0.7989]])]",484,507,0.3033088235294117
123,177,gpt-3.5-turbo,Capitalist narrative in the works of Gibson by Henry O. C. d’Erlette,245,29," is the role of the writer as poet. However, the masculine/feminine distinction intrinsic to Spelling’s Models, Inc. emerges again in","[' is', ' the', ' role', ' of', ' the', ' writer', ' as', ' poet', '.', ' However', ',']","['this', ' role', ' is', ' not', ' confined', ' to', ' the', ' traditional', ' sense', ' of', ' poetry', ' as', ' verse', '.', ' Instead', ',', ' the', ' writer']","[' the', ' masculine', '/f', 'emin', 'ine', ' distinction', ' intrinsic', ' to', ' Sp', 'elling', '’s', ' Models', ',', ' Inc', '.', ' emerges', ' again', ' in']",1.0,"this role is not confined to the traditional sense of poetry as verse. Instead, the writer as poet in the capitalist narrative of Gibson's works is the visionary, the weaver of dreams, the architect of alternate realities where technology and humanity intersect in complex"," the masculine/feminine distinction intrinsic to Spelling’s Models, Inc. emerges again in",tensor([[0.7978]]),16,"[tensor([[0.7565]]), tensor([[0.7689]]), tensor([[0.7732]]), tensor([[0.7702]]), tensor([[0.7375]]), tensor([[0.7620]]), tensor([[0.7673]]), tensor([[0.7751]]), tensor([[0.7810]]), tensor([[0.7802]]), tensor([[0.7858]]), tensor([[0.7908]]), tensor([[0.7922]]), tensor([[0.7755]]), tensor([[0.7915]]), tensor([[0.7978]]), tensor([[0.7899]]), tensor([[0.7898]]), tensor([[0.7853]]), tensor([[0.7873]]), tensor([[0.7893]]), tensor([[0.7751]]), tensor([[0.7725]]), tensor([[0.7760]]), tensor([[0.7696]]), tensor([[0.7651]]), tensor([[0.7571]]), tensor([[0.7607]]), tensor([[0.7595]]), tensor([[0.7610]]), tensor([[0.7530]]), tensor([[0.7552]]), tensor([[0.7497]]), tensor([[0.7510]]), tensor([[0.7511]]), tensor([[0.7501]]), tensor([[0.7619]]), tensor([[0.7532]]), tensor([[0.7520]]), tensor([[0.7514]]), tensor([[0.7537]]), tensor([[0.7489]]), tensor([[0.7485]]), tensor([[0.7480]]), tensor([[0.7486]])]",244,272,0.3033088235294117
125,180,gpt-3.5-turbo,Capitalist narrative in the works of Gibson by Henry O. C. d’Erlette,366,21," critique of capitalist narrative is the stasis, and some would say the meaninglessness, of predialectic","[' critique', ' of', ' capitalist', ' narrative', ' is', ' the']","[' central', ' focus', ' of', ' William', ' Gibson', ""'s"", ' works', '.', ' By', ' dissect', 'ing', ' the', ' impact', ' of', ' corporate']","[' st', 'asis', ',', ' and', ' some', ' would', ' say', ' the', ' meaning', 'lessness', ',', ' of', ' pred', 'ialect', 'ic']",1.0," central focus of William Gibson's works. By dissecting the impact of corporate influence on individuals and society, Gibson critiques the power structures and inequalities perpetuated by capitalist systems. Through his portrayal of dystopian futures dominated by mega-corporations, he highlights"," stasis, and some would say the meaninglessness, of predialectic",tensor([[0.8107]]),12,"[tensor([[0.7816]]), tensor([[0.7816]]), tensor([[0.7510]]), tensor([[0.7643]]), tensor([[0.7795]]), tensor([[0.7844]]), tensor([[0.7886]]), tensor([[0.7884]]), tensor([[0.7957]]), tensor([[0.7941]]), tensor([[0.7946]]), tensor([[0.8107]]), tensor([[0.8065]]), tensor([[0.8009]]), tensor([[0.7902]]), tensor([[0.7893]]), tensor([[0.7948]]), tensor([[0.7896]]), tensor([[0.7960]]), tensor([[0.7879]]), tensor([[0.7816]]), tensor([[0.7825]]), tensor([[0.7804]]), tensor([[0.7770]]), tensor([[0.7742]]), tensor([[0.7697]]), tensor([[0.7687]]), tensor([[0.7669]]), tensor([[0.7648]]), tensor([[0.7828]]), tensor([[0.7695]]), tensor([[0.7703]]), tensor([[0.7669]]), tensor([[0.7662]]), tensor([[0.7774]]), tensor([[0.7767]]), tensor([[0.7745]]), tensor([[0.7737]]), tensor([[0.7793]]), tensor([[0.7735]]), tensor([[0.7646]])]",365,385,0.3033088235294117
127,183,gpt-3.5-turbo,Capitalist narrative in the works of Gibson by Henry O. C. d’Erlette,432,39," ‘Sontagist camp’ to denote not, in fact, dematerialism, but subdematerialism. Derrida promotes the use of postcapitalist theory to deconstruct class","[' ‘', 'S', 'ont', 'ag', 'ist', ' camp', '’', ' to', ' denote', ' not', ',']","['only', ' that', ' reality', ' comes', ' from', ' the', ' masses', ',', ' but', ' that', ' the', ' modern', 'ist', ' paradigm', ' of', ' context', ' is', ' fundamentally', ' dead', '.', ' Therefore', ',', ' the', ' premise', ' of', ' S', 'arge', 'ant']","[' in', ' fact', ',', ' dem', 'aterial', 'ism', ',', ' but', ' sub', 'dem', 'aterial', 'ism', '.', ' D', 'err', 'ida', ' promotes', ' the', ' use', ' of', ' post', 'capital', 'ist', ' theory', ' to', ' de', 'construct', ' class']",0.9642857142857144,"only that reality comes from the masses, but that the modernist paradigm of context is fundamentally dead. Therefore, the premise of Sargeant’s[2] essay on the capitalist narrative is a self-fulfilling paradox. Bataille uses"," in fact, dematerialism, but subdematerialism. Derrida promotes the use of postcapitalist theory to deconstruct class",tensor([[0.8437]]),21,"[tensor([[0.7647]]), tensor([[0.7697]]), tensor([[0.7758]]), tensor([[0.7801]]), tensor([[0.7697]]), tensor([[0.7835]]), tensor([[0.7988]]), tensor([[0.7861]]), tensor([[0.7967]]), tensor([[0.8010]]), tensor([[0.8006]]), tensor([[0.8103]]), tensor([[0.8260]]), tensor([[0.8268]]), tensor([[0.8260]]), tensor([[0.8242]]), tensor([[0.8304]]), tensor([[0.8210]]), tensor([[0.8261]]), tensor([[0.8237]]), tensor([[0.8437]]), tensor([[0.8322]]), tensor([[0.8359]]), tensor([[0.8333]]), tensor([[0.8329]]), tensor([[0.8287]]), tensor([[0.8340]]), tensor([[0.8310]]), tensor([[0.8206]]), tensor([[0.8195]]), tensor([[0.8187]]), tensor([[0.8218]]), tensor([[0.8228]]), tensor([[0.8228]])]",431,469,0.3033088235294117
129,186,gpt-3.5-turbo,Capitalist narrative in the works of Gibson by Henry O. C. d’Erlette,403,22," Spelling are empowering. Many appropriations concerning the role of the writer as observer exist.
It could be said that","[' Sp', 'elling', ' are', ' empowering', '.', ' Many', ' appropriations', ' concerning', ' the', ' role']","['of', ' capitalism', ' as', ' either', ' a', ' force', ' for', ' progress', ' or', ' a', ' system', ' of']","[' of', ' the', ' writer', ' as', ' observer', ' exist', '.\n', 'It', ' could', ' be', ' said', ' that']",1.0,"of capitalism as either a force for progress or a system of exploitation have been made in literature. In the works of William Gibson, a prominent theme emerges regarding the impact of capitalism on society and individuals. Gibson's narratives often depict a future world in which"," of the writer as observer exist.
It could be said that",tensor([[0.8097]]),6,"[tensor([[0.7598]]), tensor([[0.7890]]), tensor([[0.7713]]), tensor([[0.7887]]), tensor([[0.8040]]), tensor([[0.8097]]), tensor([[0.8057]]), tensor([[0.8038]]), tensor([[0.7864]]), tensor([[0.7970]]), tensor([[0.7945]]), tensor([[0.7981]]), tensor([[0.7936]]), tensor([[0.7995]]), tensor([[0.7945]]), tensor([[0.7943]]), tensor([[0.7960]]), tensor([[0.7991]]), tensor([[0.7915]]), tensor([[0.7949]]), tensor([[0.7957]]), tensor([[0.7960]]), tensor([[0.7932]]), tensor([[0.8003]]), tensor([[0.7984]]), tensor([[0.7951]]), tensor([[0.7956]]), tensor([[0.7957]]), tensor([[0.7879]]), tensor([[0.7860]]), tensor([[0.7835]]), tensor([[0.7858]]), tensor([[0.7823]]), tensor([[0.7805]]), tensor([[0.7791]]), tensor([[0.7757]]), tensor([[0.7740]]), tensor([[0.7735]]), tensor([[0.7805]]), tensor([[0.7812]]), tensor([[0.7773]]), tensor([[0.7744]]), tensor([[0.7745]]), tensor([[0.7735]]), tensor([[0.7741]]), tensor([[0.7735]]), tensor([[0.7736]])]",402,423,0.3033088235294117
132,190,gpt-3.5-turbo,Capitalist narrative in the works of Gibson by Henry O. C. d’Erlette,485,33,"ist simulacra that includes sexuality as a whole. If Sontagist camp holds, we have to choose between modernist theory and the postcultural paradigm","['ist', ' simul', 'ac', 'ra', ' that', ' includes', ' sexuality', ' as', ' a', ' whole', '.', ' If', ' S', 'ont']","['If', ' S', 'ont', 'ag', 'ist', ' camp', ' holds', ',', ' we', ' have', ' to', ' choose', ' between', ' capitalist', ' narrative', ' and', ' the', ' dialect', 'ic']","['ag', 'ist', ' camp', ' holds', ',', ' we', ' have', ' to', ' choose', ' between', ' modern', 'ist', ' theory', ' and', ' the', ' post', 'c', 'ultural', ' paradigm']",0.5263157894736842,"If Sontagist camp holds, we have to choose between capitalist narrative and the dialectic paradigm of consensus. In a sense, the subject is interpolated into a neocapitalist whole that includes reality as a paradox. It could be said","agist camp holds, we have to choose between modernist theory and the postcultural paradigm",tensor([[0.8896]]),17,"[tensor([[0.7467]]), tensor([[0.7600]]), tensor([[0.7795]]), tensor([[0.8180]]), tensor([[0.8277]]), tensor([[0.8339]]), tensor([[0.8328]]), tensor([[0.8375]]), tensor([[0.8621]]), tensor([[0.8703]]), tensor([[0.8776]]), tensor([[0.8671]]), tensor([[0.8723]]), tensor([[0.8720]]), tensor([[0.8834]]), tensor([[0.8880]]), tensor([[0.8896]]), tensor([[0.8730]]), tensor([[0.8779]]), tensor([[0.8722]]), tensor([[0.8792]]), tensor([[0.8711]]), tensor([[0.8746]]), tensor([[0.8627]]), tensor([[0.8646]]), tensor([[0.8656]]), tensor([[0.8613]]), tensor([[0.8602]]), tensor([[0.8584]]), tensor([[0.8573]]), tensor([[0.8531]]), tensor([[0.8572]]), tensor([[0.8491]]), tensor([[0.8503]]), tensor([[0.8635]]), tensor([[0.8547]]), tensor([[0.8554]]), tensor([[0.8535]]), tensor([[0.8561]])]",484,516,0.3033088235294117
134,193,gpt-3.5-turbo,Capitalist narrative in the works of Gibson by Henry O. C. d’Erlette,17,20,"ically elitist,” says Debord; however, according to Abian[1] , it is","['ically', ' elit', 'ist', ',”', ' says', ' Deb', 'ord', ';', ' however', ',']","[' he', ' fails', ' to', ' consider', ' Gibson', '’s', ' unique', ' perspective', ' on', ' capitalism']","[' according', ' to', ' Ab', 'ian', '[', '1', ']', ' ,', ' it', ' is']",1.0," he fails to consider Gibson’s unique perspective on capitalism and its effects on society. Gibson’s writings often explore the ways in which technology and consumerist culture intersect with power dynamics, creating a complex web of control and resistance. By examining the ways in which"," according to Abian[1] , it is",tensor([[0.8218]]),3,"[tensor([[0.7821]]), tensor([[0.7821]]), tensor([[0.8218]]), tensor([[0.7586]]), tensor([[0.7763]]), tensor([[0.7643]]), tensor([[0.7662]]), tensor([[0.7693]]), tensor([[0.7610]]), tensor([[0.7675]]), tensor([[0.7497]]), tensor([[0.7606]]), tensor([[0.7624]]), tensor([[0.7513]]), tensor([[0.7559]]), tensor([[0.7474]]), tensor([[0.7694]]), tensor([[0.7744]]), tensor([[0.7620]]), tensor([[0.7434]]), tensor([[0.7554]]), tensor([[0.7460]]), tensor([[0.7464]]), tensor([[0.7501]]), tensor([[0.7425]]), tensor([[0.7476]]), tensor([[0.7439]]), tensor([[0.7414]]), tensor([[0.7426]]), tensor([[0.7421]]), tensor([[0.7425]]), tensor([[0.7604]]), tensor([[0.7409]]), tensor([[0.7535]]), tensor([[0.7436]]), tensor([[0.7452]]), tensor([[0.7551]]), tensor([[0.7427]]), tensor([[0.7469]]), tensor([[0.7744]]), tensor([[0.7553]]), tensor([[0.7458]]), tensor([[0.7494]]), tensor([[0.7437]]), tensor([[0.7458]]), tensor([[0.7458]])]",16,35,0.3033088235294117
136,196,gpt-3.5-turbo,Capitalist narrative in the works of Gibson by Henry O. C. d’Erlette,27,37," according to Abian[1] , it is not so much class that is intrinsically elitist, but rather the meaninglessness, and some would say the genre, of class","[' according', ' to', ' Ab', 'ian', '[', '1', ']', ' ,', ' it', ' is', ' not', ' so', ' much', ' class', ' that', ' is', ' intr', 'ins']","['ically', ' used', ' in', ' the', ' service', ' of', ' capitalism', '.', ' Instead', ',', ' Ab', 'ian', ' argues', ' that', ' it', ' is', ' a', ' combination', ' of']","['ically', ' elit', 'ist', ',', ' but', ' rather', ' the', ' meaning', 'lessness', ',', ' and', ' some', ' would', ' say', ' the', ' genre', ',', ' of', ' class']",0.8947368421052632,"ically used in the service of capitalism. Instead, Abian argues that it is a combination of the culture industry and society's fixation on consumerism that perpetuates the capitalist narrative. This perspective challenges traditional Marxist views on capitalism by placing emphasis on the role","ically elitist, but rather the meaninglessness, and some would say the genre, of class",tensor([[0.8226]]),19,"[tensor([[0.7647]]), tensor([[0.7751]]), tensor([[0.7822]]), tensor([[0.7851]]), tensor([[0.7919]]), tensor([[0.7826]]), tensor([[0.7876]]), tensor([[0.7908]]), tensor([[0.8209]]), tensor([[0.8178]]), tensor([[0.8121]]), tensor([[0.8134]]), tensor([[0.8132]]), tensor([[0.8179]]), tensor([[0.8178]]), tensor([[0.8150]]), tensor([[0.8108]]), tensor([[0.8127]]), tensor([[0.8226]]), tensor([[0.8175]]), tensor([[0.8146]]), tensor([[0.8204]]), tensor([[0.8173]]), tensor([[0.8185]]), tensor([[0.8150]]), tensor([[0.8167]]), tensor([[0.8143]]), tensor([[0.8176]]), tensor([[0.8088]]), tensor([[0.8194]]), tensor([[0.8119]]), tensor([[0.8068]]), tensor([[0.8024]]), tensor([[0.8027]]), tensor([[0.7963]]), tensor([[0.7945]]), tensor([[0.7941]]), tensor([[0.7919]]), tensor([[0.7917]]), tensor([[0.7908]]), tensor([[0.7890]]), tensor([[0.7885]]), tensor([[0.7904]]), tensor([[0.7888]])]",26,62,0.3033088235294117
